være;Jeg er glad.;to be;I am happy.;
og;Jeg drikker kaffe og te.;and;I drink coffee and tea.;
i;Jeg bor i en leilighet.;in;I live in an apartment.;
en;Jeg har en hund.;a;I have a dog.;
det;Det er en stor bil.;it;It is a big car.;
på;Boken ligger på bordet.;on;The book lies on the table.;
som;Jeg har en venn som hjelper.;who;I have a friend who helps.;
ha;Jeg har en søster.;to have;I have a sister.;
til;Vi går til skolen nå.;to;We go to school now.;
av;Bordet er laget av tre.;of;The table is made of wood.;
for;Denne gaven er for deg.;for;This gift is for you.;
med;Jeg snakker med min mor.;with;I speak with my mother.;
at;Jeg vet at han kommer.;that;I know that he is coming.;
jeg;Jeg lærer norsk nå.;I;I am learning Norwegian now.;
ikke;Jeg snakker ikke spansk.;not;I do not speak Spanish.;
de;De bor i Oslo.;they;They live in Oslo.;
den;Jeg liker den filmen.;that;I like that movie.;
bli;Jeg blir her.;to stay;I am staying here.;
du;Du er en god venn.;you;You are a good friend.;
om;Vi snakker om turen.;about;We are talking about the trip.;
kunne;Jeg kan lese norsk.;to be able to;I can read Norwegian.;
vi;Vi spiser middag sammen.;we;We eat dinner together.;
men;Jeg er sulten, men glad.;but;I am hungry but happy.;
fra;Jeg kommer fra Norge.;from;I come from Norway.;
mye;Jeg drikker mye vann.;much;I drink a lot of water.;
så;Hun er så sint.;so;She is so angry.;
få;Kan jeg få en kaffe?;get;Can I get a coffee?;
skulle;Jeg skal sove nå.;shall;I shall sleep now.;
noen;Er det noen her?;someone;Is there someone here?;
ville;Jeg vil ha vann.;want;I want water.;
dette;Dette er mitt hus.;this;This is my house.;
seg;Han vasker seg.;himself;He washes himself.;
han;Han leser en bok.;he;He reads a book.;
god;Maten er veldig god.;good;The food is very good.;
mange;Jeg har mange venner.;many;I have many friends.;
all;Han drikker all melken.;all;He drinks all the milk.;
andre;De andre barna leker.;other;The other children are playing.;
eller;Vil du ha te eller kaffe?;or;Do you want tea or coffee?;
annen;Jeg vil ha en annen bok.;another;I want another book.;
også;Jeg er også sulten.;also;I am also hungry.;
se;Jeg ser en fugl.;see;I see a bird.;
si;Hva sier du?;say;What do you say?;
komme;Han kommer hjem nå.;come;He comes home now.;
ta;Jeg tar bussen.;take;I take the bus.;
gå;Vi går en tur.;go;We go for a walk.;
ut;Vi går ut nå.;out;We go out now.;
man;Kan man spise her?;one;Can one eat here?;
stor;Han har en stor hund.;big;He has a big dog.;
et år;Det er et nytt år.;a year;It is a new year.;
måtte;Jeg må gå på skolen nå.;must;I must go to school now.;
sin;Han liker hunden sin.;his;He likes his dog.;
gjøre;Hva gjør du i dag?;to do;What are you doing today?;
lese;Jeg leser en god bok.;to read;I am reading a good book.;
etter;Vi spiser middag etter skolen.;after;We eat dinner after school.;
da;Hva skjer da?;then;What happens then?;
hel;Hun spiser en hel kake.;whole;She eats a whole cake.;
nå;Jeg må dra hjem nå.;now;I must go home now.;
når;Når kommer du på besøk?;when;When are you coming to visit?;
ny;Jeg har en ny bil.;new;I have a new car.;
ved;Han står ved døren.;by;He is standing by the door.;
en dag;Det er en fin dag.;day;It is a nice day.;
denne;Denne boken er veldig spennende.;this;This book is very exciting.;
liten;Katten min er veldig liten.;small;My cat is very small.;
her;Kan du vente her?;here;Can you wait here?;
opp;Han går opp trappen.;up;He walks up the stairs.;
over;Flyet flyr over byen.;over;The plane flies over the city.;
hun;Hun snakker norsk flytende.;she;She speaks Norwegian fluently.;
bare;Jeg vil bare ha vann.;only;I only want water.;
gi;Han gir henne en gave.;to give;He gives her a gift.;
finne;Jeg finner ikke boken.;to find;I do not find the book.;
inn;Han går inn i huset.;in;He goes into the house.;
to;Jeg har to brødre.;two;I have two brothers.;
slik;Du må gjøre det slik.;like this;You must do it like this.;
skrive;Hun skriver et brev nå.;to write;She is writing a letter now.;
litt;Jeg snakker litt norsk.;a little;I speak a little Norwegian.;
mot;Vi går mot sentrum.;towards;We are walking towards the center.;
enn;Hun er eldre enn meg.;than;She is older than me.;
hva;Hva heter du?;what;What is your name?;
bruke;Jeg bruker en penn.;to use;I use a pen.;
der;Boken ligger der.;there;The book lies there.;
min;Det er min bil.;my;It is my car.;
en sak;Dette er en viktig sak.;a case;This is an important case.;
en gang;Jeg trener en gang i uken.;a time;I exercise once a week.;
legge;Jeg legger boken på bordet.;to lay;I put the book on the table.;
et innlegg;Hun skriver et innlegg.;a post;She writes a post.;
en tid;Vi har god tid.;a time;We have plenty of time.;
før;Jeg spiser før jeg trener.;before;I eat before I exercise.;
hvor;Hvor bor du?;where;Where do you live?;
lang;Veien er veldig lang.;long;The road is very long.;
selv;Jeg gjør det selv.;self;I do it myself.;
jo;Det er jo sant.;indeed;It is indeed true.;
siden;Vi drar siden det er sent.;since;We leave since it is late.;
en del;Dette er en del av jobben.;a part;This is a part of the job.;
tro;Jeg tror det regner nå.;to think;I think it is raining now.;
din;Er dette din hund?;your;Is this your dog?;
nok;Vi har nok mat.;enough;We have enough food.;
stå;Han står ved døren.;to stand;He stands by the door.;
under;Katten ligger under bordet.;under;The cat lies under the table.;
vise;Han viser meg veien.;to show;He shows me the way.;
hvis;Jeg kommer hvis jeg kan.;if;I come if I can.;
et svar;Jeg har et svar til deg.;answer;I have an answer for you.;
disse;Disse bøkene er mine.;these;These books are mine.;
vite;Jeg vet ikke svaret.;know;I do not know the answer.;
vår;Her er den nye bilen vår.;our;Here is our new car.;
mene;Hva mener du om det?;think;What do you think about that?;
første;Det er min første dag.;first;It is my first day.;
sette;Jeg setter koppen på bordet.;put;I put the cup on the table.;
òg;Jeg kommer òg.;too;I am coming too.;
norsk;Jeg snakker litt norsk nå.;Norwegian;I speak a little Norwegian now.;
burde;Vi bør dra hjem nå.;should;We should go home now.;
ingen;Det er ingen her i dag.;none;There is no one here today.;
mellom;Huset ligger mellom to trær.;between;The house is between two trees.;
både;Jeg liker både kaffe og te.;both;I like both coffee and tea.;
igjen;Vi sees snart igjen.;again;We will see each other soon again.;
egen;Han har sin egen bil.;own;He has his own car.;
viktig;Det er en viktig dag.;important;It is an important day.;
et bilde;Jeg ser på et bilde.;picture;I am looking at a picture.;
et barn;Han er et snilt barn.;child;He is a kind child.;
hver;Jeg trener hver dag.;every;I exercise every day.;
